source,target,weight
Androgen,TMPRSS2,11.490631
Androgen,NKX3-1,10.622551
Androgen,MBOAT2,10.472733
Androgen,KLK2,10.176186
Androgen,SARG,11.386852
Androgen,SLC38A4,7.363805
Androgen,MTMR9,6.1306458
Androgen,ZBTB16,10.614437
Androgen,KCNN2,9.473199
Androgen,OPRK1,-5.6260734
Androgen,ADAM7,3.1117454
Androgen,ABCC4,9.374285
Androgen,MYBPC1,4.6085787
Androgen,EAF2,6.944907
Androgen,KLK3,14.606841
Androgen,OTULINL,7.7082176
Androgen,PEX10,5.74946
Androgen,SI,-5.795003
Androgen,SNAI2,19.821508
Androgen,CAMKK2,3.739544
Androgen,BMPR1B,4.6340847
Androgen,F5,6.087826
Androgen,LIFR,8.6125145
Androgen,MAK,5.313673
Androgen,GNMT,5.6726384
Androgen,MPC2,5.8883133
Androgen,CTNNA2,3.8691266
Androgen,CLDN8,7.8261633
Androgen,LRRFIP2,4.144187
Androgen,LRRC31,-5.1810226
Androgen,LPAR3,5.8482785
Androgen,SLC15A2,5.1399264
Androgen,ELL2,6.5675774
Androgen,IGF1R,5.011522
Androgen,DNM1L,4.1886797
Androgen,LRIG1,6.626072
Androgen,SLITRK3,-3.3206437
Androgen,KCNMA1,3.54242
Androgen,NPPC,4.046116
Androgen,ELK4,2.733172
Androgen,MRPS18A,3.9249358
Androgen,CBLL1,5.3254375
Androgen,AFF3,2.4800925
Androgen,SGK1,12.816842
Androgen,STK39,6.9341245
Androgen,PMEPA1,10.998912
Androgen,MALT1,6.669782
Androgen,CDK8,-4.2908683
Androgen,CROT,4.358307
Androgen,PGC,4.7496333
Androgen,STEAP4,9.19434
Androgen,NSMAF,3.2845445
Androgen,GPR63,-3.2275932
Androgen,TLL1,-2.463918
Androgen,MAF,5.8638716
Androgen,DHCR24,6.8430085
Androgen,FRK,4.7002487
Androgen,CENPN,8.491016
Androgen,SORD,5.777566
Androgen,IQGAP2,5.1244836
Androgen,MPHOSPH9,5.106199
Androgen,HOXC13,-3.634256
Androgen,CHRNA2,3.3317015
Androgen,CTBP1,-2.8921719
Androgen,KLF15,2.832534
Androgen,ACSL3,8.258214
Androgen,TPD52,4.5457115
Androgen,SPDEF,3.7509513
Androgen,FZD5,4.6866198
Androgen,GRIK1,-1.6465135
Androgen,CSGALNACT1,6.8460345
