source,target,weight,confidence
ADNP,ATF7IP,0.3333333333333333,C
ADNP,DYRK1A,0.3333333333333333,C
ADNP,TLK1,0.3333333333333333,C
ADNP,ZMYM4,0.3333333333333333,C
AHR,ARHGAP15,0.3333333333333333,C
AHR,ARID5B,0.3333333333333333,C
AHR,ASAP1,0.5,B
AHR,CREB5,0.3333333333333333,C
AHR,CTNNA1,0.3333333333333333,C
AHR,CTNNA2,0.3333333333333333,C
AHR,CYP1A1,1.0,A
AHR,CYP1A2,1.0,A
AHR,CYP1B1,1.0,A
AHR,DOCK4,0.3333333333333333,C
AHR,EPB41L2,0.3333333333333333,C
AHR,ERG,0.5,B
AHR,FOS,1.0,A
AHR,FRMD4A,0.3333333333333333,C
AHR,GAS7,0.3333333333333333,C
AHR,KAZN,0.3333333333333333,C
AHR,KDM4C,0.3333333333333333,C
AHR,LHFPL2,0.3333333333333333,C
AHR,MAP4K4,0.3333333333333333,C
AHR,MAST4,0.3333333333333333,C
AHR,MID1,0.3333333333333333,C
AHR,MYC,1.0,A
AHR,MYO1B,0.3333333333333333,C
AHR,NCOR2,0.3333333333333333,C
AHR,NFATC2,0.3333333333333333,C
AHR,NRP2,0.3333333333333333,C
AHR,PHACTR3,0.3333333333333333,C
AHR,PLCB1,0.3333333333333333,C
AHR,RAPGEF4,0.3333333333333333,C
AHR,RBMS1,0.3333333333333333,C
AHR,RUNX1,0.3333333333333333,C
AHR,SIPA1L2,0.3333333333333333,C
AHR,SLCO3A1,0.3333333333333333,C
AHR,SOS1,0.3333333333333333,C
AHR,SULF2,0.3333333333333333,C
AHR,TRIM37,0.3333333333333333,C
AHR,TRIO,0.3333333333333333,C
AHR,TRPS1,0.3333333333333333,C
AHR,TSHZ2,0.3333333333333333,C
AHR,UGT1A6,1.0,A
AHR,UTRN,0.3333333333333333,C
AHR,VGLL4,0.5,B
AHR,ZNF217,0.3333333333333333,C
AHR,ZNF385D,0.3333333333333333,C
AR,ABCE1,1.0,A
AR,ACAD10,1.0,A
AR,ACP3,1.0,A
AR,ACSL1,0.3333333333333333,C
AR,ADCY2,0.3333333333333333,C
AR,ADGRL2,0.3333333333333333,C
AR,AHSG,1.0,A
AR,AKAP13,0.5,B
AR,AKR1B1,1.0,A
AR,AKR1C3,-1.0,A
AR,AKT1,1.0,A
AR,ALPG,1.0,A
AR,ANAPC10,1.0,A
AR,ANGPT1,0.3333333333333333,C
AR,ANKS1B,0.3333333333333333,C
AR,AP2M1,1.0,A
AR,APPBP2,1.0,A
AR,ARAP2,0.3333333333333333,C
AR,ARHGAP6,0.3333333333333333,C
AR,ARID1B,0.3333333333333333,C
AR,ATF6,1.0,A
AR,ATM,1.0,A
AR,ATP2B4,1.0,A
AR,ATRNL1,0.3333333333333333,C
AR,BABAM2,1.0,A
AR,BANF1,1.0,A
AR,BTD,1.0,A
AR,CAPN2,0.3333333333333333,C
AR,CASZ1,0.3333333333333333,C
AR,CCNG2,1.0,A
AR,CD4,1.0,A
AR,CDC6,1.0,A
AR,CDH2,1.0,A
AR,CDKL5,1.0,A
AR,CDKN1A,1.0,A
AR,CITED2,1.0,A
AR,COASY,1.0,A
AR,CPT2,1.0,A
AR,CRISP1,1.0,A
AR,CUX2,0.5,B
AR,CYCS,1.0,A
AR,DBI,1.0,A
AR,DDC,1.0,A
AR,DDT,1.0,A
AR,DHX15,1.0,A
AR,DLG2,0.5,B
AR,EEF1AKMT3,1.0,A
AR,EGFR,1.0,A
AR,EIF3I,1.0,A
AR,ELAPOR2,0.3333333333333333,C
AR,ELF3,1.0,A
AR,ELMO1,0.3333333333333333,C
AR,ERBB3,1.0,A
ERG,AR,0.5,B
ESR1,AR,1.0,A
AR,ESRRA,1.0,A
AR,EXOC4,0.3333333333333333,C
AR,EYA2,1.0,A
AR,FAM107B,0.3333333333333333,C
AR,FAM13A,1.0,A
AR,FAM13C,0.3333333333333333,C
AR,FAM174B,1.0,A
AR,FHL2,0.3333333333333333,C
AR,FKBP5,1.0,A
AR,FOXA1,1.0,A
FOXO3,AR,1.0,A
AR,FTO,0.3333333333333333,C
AR,FXYD3,1.0,A
AR,GHR,0.3333333333333333,C
AR,GLRX,1.0,A
AR,GNL1,1.0,A
AR,GRB10,1.0,A
AR,GTDC1,0.3333333333333333,C
AR,GTF2F1,1.0,A
AR,H2BC21,1.0,A
AR,HDAC9,0.3333333333333333,C
AR,HERC3,0.3333333333333333,C
AR,HES1,1.0,A
AR,HK2,1.0,A
AR,HLA-E,1.0,A
AR,HNRNPA1,1.0,A
AR,HSD17B11,1.0,A
AR,IFI35,1.0,A
AR,IGF1R,1.0,A
AR,IGFBP3,1.0,A
AR,IGHG1,1.0,A
AR,IL1R1,1.0,A
AR,ITPR2,0.5,B
AR,ITSN1,0.5,B
AR,JAZF1,0.3333333333333333,C
AR,JRKL,0.3333333333333333,C
AR,JUN,1.0,A
AR,KALRN,0.3333333333333333,C
AR,KCNH2,1.0,A
AR,KCNH8,0.3333333333333333,C
AR,KDM4B,0.5,B
AR,KIAA1217,-1.0,A
AR,KLF5,1.0,A
AR,KLK2,1.0,A
AR,KLK3,1.0,A
AR,KLK4,1.0,A
AR,KRT18,1.0,A
AR,KRT8,1.0,A
AR,LAMA3,0.3333333333333333,C
AR,LARS2,0.5,B
AR,LCP1,0.3333333333333333,C
AR,LIFR,1.0,A
AR,LIMCH1,0.3333333333333333,C
AR,LIPA,0.3333333333333333,C
AR,LMBR1,0.3333333333333333,C
AR,LTBP4,0.3333333333333333,C
AR,MACROD2,0.3333333333333333,C
AR,MAP2,0.3333333333333333,C
AR,MAPK10,0.3333333333333333,C
AR,MED1,1.0,A
AR,MICAL2,0.3333333333333333,C
AR,MID1,0.5,B
AR,MME,0.5,B
AR,MMP13,1.0,A
AR,MPZL1,0.3333333333333333,C
AR,MRPS27,1.0,A
AR,MT2A,1.0,A
AR,MTSS1,0.3333333333333333,C
AR,MUC1,-1.0,A
AR,MYC,1.0,A
AR,MYLK,0.5,B
AR,NCALD,0.3333333333333333,C
AR,NCOA2,-1.0,A
AR,NCOR1,0.3333333333333333,C
AR,NCOR2,0.5,B
AR,NDRG1,1.0,A
AR,NEDD9,0.5,B
AR,NFIA,0.3333333333333333,C
AR,NFIB,0.5,B
NFKB1,AR,-1.0,A
AR,NKX3-1,1.0,A
AR,NLGN4X,1.0,A
AR,NME7,1.0,A
AR,NOL3,0.3333333333333333,C
AR,NPAT,1.0,A
AR,NPEPPS,1.0,A
AR,NUMB,0.3333333333333333,C
AR,NUP214,1.0,A
AR,ORM1,1.0,A
AR,ORM2,1.0,A
AR,PBX1,0.3333333333333333,C
AR,PDZRN3,0.3333333333333333,C
AR,PEX6,1.0,A
AR,PGC,1.0,A
AR,PIGR,1.0,A
AR,PIN1,1.0,A
AR,PLAAT4,0.3333333333333333,C
AR,PMAIP1,1.0,A
AR,PMEPA1,1.0,A
AR,PNPLA4,1.0,A
AR,PNRC1,1.0,A
AR,PPARGC1A,0.3333333333333333,C
AR,PPP2R2C,0.3333333333333333,C
AR,PPP2R5D,1.0,A
AR,PRAME,1.0,A
AR,PRKCD,1.0,A
AR,PRLR,0.5,B
AR,PRPS1,1.0,A
AR,PTGS2,-1.0,A
AR,PTK2B,0.3333333333333333,C
AR,PTPN9,1.0,A
AR,PTPRM,1.0,A
AR,QSOX1,1.0,A
AR,RARA,0.3333333333333333,C
AR,RBMS3,0.3333333333333333,C
AR,RBMX,1.0,A
AR,RBPMS,1.0,A
AR,RELA,-1.0,A
RELA,AR,-1.0,A
AR,RIN2,0.3333333333333333,C
AR,RNASE4,1.0,A
AR,RUNX1,0.5,B
AR,SCAP,1.0,A
AR,SCNN1A,1.0,A
AR,SDF2,1.0,A
AR,SERPINB5,-1.0,A
AR,SERPINI1,1.0,A
AR,SIPA1L1,0.3333333333333333,C
AR,SIPA1L2,0.3333333333333333,C
AR,SLC25A11,1.0,A
AR,SMARCA2,1.0,A
AR,SMS,1.0,A
AR,SNAI2,1.0,A
AR,SORBS2,0.3333333333333333,C
AR,SORD,1.0,A
AR,SOX4,1.0,A
AR,SOX6,0.3333333333333333,C
AR,SPDEF,1.0,A
AR,SPIDR,0.5,B
AR,SPOCK1,0.3333333333333333,C
AR,ST3GAL1,0.5,B
AR,STARD13,0.3333333333333333,C
AR,STK39,1.0,A
AR,STXBP2,1.0,A
AR,SUGCT,0.3333333333333333,C
AR,SUOX,1.0,A
AR,SUSD6,1.0,A
AR,TACC1,0.3333333333333333,C
AR,TENM4,0.3333333333333333,C
AR,TESK1,1.0,A
AR,TG,0.5,B
AR,THRA,1.0,A
AR,TLN2,0.3333333333333333,C
AR,TMPRSS2,1.0,A
AR,TMSB10,0.3333333333333333,C
AR,TNFRSF1A,1.0,A
AR,TNS3,0.3333333333333333,C
AR,TPRG1,0.5,B
AR,TRPS1,1.0,A
AR,UBC,1.0,A
AR,UBE2D3,1.0,A
AR,UGT2B15,1.0,A
AR,UGT2B17,0.3333333333333333,C
AR,VAPA,1.0,A
AR,VEGFA,1.0,A
AR,WWC2,0.3333333333333333,C
AR,XPA,1.0,A
AR,ZBTB16,1.0,A
AR,ZCCHC9,1.0,A
AR,ZFHX4,1.0,A
AR,ZMIZ1,0.5,B
AR,ZMYND8,0.3333333333333333,C
AR,ZNF385B,0.3333333333333333,C
AR,ZNF407,0.5,B
AR,ZNF559,1.0,A
ARID2,AGTPBP1,0.3333333333333333,C
ARID2,ATXN7,0.3333333333333333,C
ARID2,BAZ2A,0.3333333333333333,C
ARID2,BBX,0.3333333333333333,C
ARID2,CACUL1,0.3333333333333333,C
ARID2,CDK17,0.3333333333333333,C
ARID2,CHD2,0.3333333333333333,C
ARID2,CHD9,0.3333333333333333,C
ARID2,CPSF6,0.3333333333333333,C
FOXA1,ARID2,0.3333333333333333,C
ARID2,FOXJ3,0.3333333333333333,C
FOXP1,ARID2,0.3333333333333333,C
ARID2,HNRNPH1,0.3333333333333333,C
ARID2,HNRNPL,0.3333333333333333,C
ARID2,JMJD1C,0.3333333333333333,C
ARID2,LRP6,0.3333333333333333,C
ARID2,MAP4K5,0.3333333333333333,C
ARID2,MLLT10,0.3333333333333333,C
ARID2,MSI2,0.3333333333333333,C
ARID2,NCOA2,0.3333333333333333,C
ARID2,NFAT5,0.3333333333333333,C
ARID2,PAWR,0.3333333333333333,C
ARID2,RBPJ,0.3333333333333333,C
ARID2,RCOR3,0.3333333333333333,C
ARID2,SIAH1,0.3333333333333333,C
ARID2,SOS1,0.3333333333333333,C
ARID2,TIAL1,0.3333333333333333,C
ARID2,TNPO1,0.3333333333333333,C
ARID2,USP3,0.3333333333333333,C
ARID2,WAC,0.3333333333333333,C
ARID2,ZCCHC2,0.3333333333333333,C
ARID2,ZNF131,0.3333333333333333,C
ARID3A,ACKR2,0.3333333333333333,C
ARID3A,BAZ2A,0.3333333333333333,C
ARID3A,BCAT1,0.3333333333333333,C
ARID3A,CCR7,0.3333333333333333,C
ARID3A,CIC,0.3333333333333333,C
ARID3A,CYTH1,0.3333333333333333,C
ARID3A,DDIT4,0.3333333333333333,C
ARID3A,DENND3,0.3333333333333333,C
ARID3A,ERN1,0.3333333333333333,C
ARID3A,FOXK1,0.3333333333333333,C
ARID3A,GAB2,0.3333333333333333,C
ARID3A,GRK6,0.3333333333333333,C
ARID3A,IGHV1-69,1.0,A
ARID3A,IGHV3-23,1.0,A
ARID3A,KCNAB2,0.3333333333333333,C
ARID3A,MKNK2,0.3333333333333333,C
ARID3A,MNT,0.3333333333333333,C
ARID3A,PLIN2,0.3333333333333333,C
ARID3A,PTK2B,0.3333333333333333,C
ARID3A,SEC14L1,0.3333333333333333,C
ARID3A,ST3GAL1,0.3333333333333333,C
ARID3A,STK10,0.3333333333333333,C
ARID3A,TGIF1,0.3333333333333333,C
ARID3A,ZBTB7B,0.3333333333333333,C
ARID3A,ZC3H3,0.3333333333333333,C
ARNT,AFF1,0.3333333333333333,C
ARNT,ALDOA,0.3333333333333333,C
ARNT,ANGPT1,0.5,B
ARNT,ANK3,0.3333333333333333,C
ARNT,ARID1B,0.3333333333333333,C
ARNT,ARID5B,0.3333333333333333,C
ARNT,ASAP1,0.3333333333333333,C
ARNT,BHLHE40,1.0,A
ARNT,CDH4,0.3333333333333333,C
ARNT,CTNNA2,0.3333333333333333,C
ARNT,CYP1B1,1.0,A
ARNT,DAAM1,0.3333333333333333,C
ARNT,DOCK1,0.3333333333333333,C
ARNT,DOCK4,0.3333333333333333,C
ARNT,DST,0.3333333333333333,C
ARNT,DYNC2H1,0.3333333333333333,C
ARNT,EIF3H,0.3333333333333333,C
ARNT,ENO1,0.3333333333333333,C
ARNT,EPO,1.0,A
ARNT,ERC1,0.3333333333333333,C
ARNT,ESR1,0.5,B
ARNT,EXOC6B,0.3333333333333333,C
ARNT,FNDC3B,0.3333333333333333,C
FOS,ARNT,1.0,A
ARNT,GLI3,0.3333333333333333,C
ARNT,GTDC1,0.3333333333333333,C
ARNT,IQSEC1,0.3333333333333333,C
ARNT,LDHA,1.0,A
ARNT,LPP,0.3333333333333333,C
ARNT,MACROD2,0.3333333333333333,C
ARNT,MED13L,0.3333333333333333,C
ARNT,MID1,0.3333333333333333,C
ARNT,NBEA,0.3333333333333333,C
ARNT,NFASC,0.3333333333333333,C
ARNT,NFIA,0.3333333333333333,C
ARNT,NLGN1,0.3333333333333333,C
ARNT,PIP4K2A,0.3333333333333333,C
ARNT,PTK2,0.3333333333333333,C
ARNT,PTPRD,0.3333333333333333,C
ARNT,PTPRR,0.3333333333333333,C
ARNT,RBMS1,0.3333333333333333,C
ARNT,RBMS3,0.3333333333333333,C
ARNT,RBPJ,0.3333333333333333,C
ARNT,RREB1,0.3333333333333333,C
ARNT,SLC22A23,0.3333333333333333,C
ARNT,SORL1,0.3333333333333333,C
ARNT,SOX5,0.3333333333333333,C
ARNT,SPAG9,0.3333333333333333,C
ARNT,SPOCK1,0.3333333333333333,C
ARNT,TBC1D5,0.3333333333333333,C
ARNT,TCF12,0.3333333333333333,C
ARNT,TCF4,0.3333333333333333,C
ARNT,TENM2,0.3333333333333333,C
ARNT,TFRC,0.3333333333333333,C
ARNT,THSD7A,0.3333333333333333,C
ARNT,TRIO,0.3333333333333333,C
ARNT,TTLL5,0.3333333333333333,C
ARNT,UGT1A6,1.0,A
ARNT,UVRAG,0.3333333333333333,C
ARNT,VEGFA,1.0,A
ARNT,VGLL4,0.3333333333333333,C
ARNT,VPS13B,0.3333333333333333,C
ARNT,VPS13D,0.3333333333333333,C
ARNT,WSCD1,0.3333333333333333,C
ARNTL,ACAP2,0.3333333333333333,C
ARNTL,ACOXL,0.3333333333333333,C
ARNTL,AVP,1.0,A
ARNTL,BBC3,0.3333333333333333,C
ARNTL,BHLHE40,1.0,A
ARNTL,CERK,0.3333333333333333,C
ARNTL,CRY1,1.0,A
ARNTL,CRY2,1.0,A
ARNTL,DBP,1.0,A
ARNTL,GAS7,0.3333333333333333,C
ARNTL,NR1D1,1.0,A
NR1D1,ARNTL,-1.0,A
ARNTL,NR1D2,1.0,A
